intern_id,task_completion_time_hours,feedback_rating,attendance_percentage,tasks_completed,tasks_assigned,performance_score,performance_category
INT-0466,36.5,7.26,77.03,25,25,100.0,Excel
INT-0467,38.48,5.4,80.04,22,22,98.3,Excel
INT-0468,65.25,5.3,95.9,6,12,67.82,Average
INT-0469,55.27,5.2,89.96,21,24,73.29,Average
INT-0470,30.45,4.73,84.15,22,25,93.36,Excel
INT-0471,46.17,7.35,79.85,10,11,78.6,Average
INT-0472,37.12,8.78,80.1,16,20,90.51,Excel
INT-0473,38.59,7.18,86.95,21,25,97.05,Excel
INT-0474,44.22,4.04,89.26,19,19,84.97,Excel
INT-0475,49.43,6.93,75.83,11,14,75.94,Average
INT-0476,37.93,6.97,84.33,19,23,88.65,Excel
INT-0477,54.77,10.0,65.72,7,8,80.21,Excel
INT-0478,28.3,5.16,85.91,17,17,89.49,Excel
INT-0479,42.08,6.65,90.86,22,26,88.28,Excel
INT-0480,73.17,9.59,81.48,14,18,78.16,Average
INT-0481,44.68,7.83,100.0,15,15,97.22,Excel
INT-0482,59.2,7.99,76.07,19,25,81.32,Excel
INT-0483,43.1,7.36,85.96,21,24,86.51,Excel
INT-0484,48.97,7.66,83.68,21,21,96.2,Excel
INT-0485,41.32,8.29,83.1,20,20,83.61,Excel
INT-0486,39.96,6.07,82.97,21,21,88.66,Excel
INT-0487,32.65,8.43,84.96,21,24,97.23,Excel
INT-0488,47.16,5.28,91.63,17,17,86.37,Excel
INT-0489,31.78,7.66,96.4,18,20,100.0,Excel
INT-0490,49.99,7.45,83.98,15,18,90.32,Excel
INT-0491,55.02,6.34,91.34,10,14,74.76,Average
INT-0492,46.4,7.17,77.68,12,16,83.65,Excel
INT-0493,38.57,6.33,90.89,16,20,90.34,Excel
INT-0494,47.45,5.7,77.14,17,17,74.18,Average
INT-0495,38.3,6.7,93.82,23,23,100.0,Excel
INT-0496,53.23,5.65,100.0,16,16,79.97,Average
INT-0497,20.02,7.65,82.9,23,24,100.0,Excel
INT-0498,37.97,5.59,64.27,21,23,84.65,Excel
INT-0499,18.11,8.2,79.07,18,18,100.0,Excel
INT-0500,24.06,5.55,95.09,21,21,97.73,Excel
INT-0501,58.37,6.41,88.98,14,18,82.92,Excel
INT-0502,52.74,6.33,86.24,21,25,78.54,Average
INT-0503,33.37,9.06,93.08,21,21,100.0,Excel
INT-0504,23.97,7.66,88.36,14,16,95.51,Excel
INT-0505,15.0,6.9,94.96,21,22,100.0,Excel
INT-0506,35.48,7.9,92.27,24,27,100.0,Excel
INT-0507,71.04,4.25,97.7,13,17,74.65,Average
INT-0508,47.22,7.14,87.23,18,23,86.51,Excel
INT-0509,35.29,10.0,92.15,19,22,100.0,Excel
INT-0510,47.58,7.39,81.24,12,15,83.08,Excel
INT-0511,23.27,7.3,78.59,21,21,95.74,Excel
INT-0512,38.43,7.97,99.36,11,14,92.59,Excel
INT-0513,43.19,8.45,85.95,14,16,90.1,Excel
INT-0514,40.97,4.4,91.24,21,21,85.1,Excel
INT-0515,51.49,4.84,85.11,17,22,80.07,Excel
INT-0516,46.14,7.49,78.72,15,15,87.93,Excel
INT-0517,50.02,6.2,84.1,18,22,76.29,Average
INT-0518,33.74,9.04,96.92,18,19,96.73,Excel
INT-0519,52.77,6.76,89.0,16,19,86.43,Excel
INT-0520,61.55,4.49,68.6,18,19,66.0,Average
INT-0521,30.36,5.42,82.06,15,15,89.99,Excel
INT-0522,31.35,3.35,100.0,18,21,92.34,Excel
INT-0523,58.03,6.87,82.08,14,16,73.59,Average
INT-0524,39.7,6.94,67.8,11,14,73.15,Average
INT-0525,58.85,6.61,100.0,11,17,87.6,Excel
INT-0526,36.69,8.71,90.14,23,27,100.0,Excel
INT-0527,59.46,8.88,83.37,17,21,84.38,Excel
INT-0528,43.58,6.96,80.66,12,12,80.91,Excel
INT-0529,45.1,4.21,93.74,10,14,74.49,Average
INT-0530,60.78,8.06,79.12,15,18,75.49,Average
INT-0531,37.66,7.98,94.33,23,25,100.0,Excel
INT-0532,30.71,7.63,88.88,17,19,93.96,Excel
INT-0533,36.62,8.57,86.2,22,25,100.0,Excel
INT-0534,47.43,5.57,85.31,17,18,81.93,Excel
INT-0535,23.21,10.0,82.43,21,22,100.0,Excel
INT-0536,49.65,5.86,93.41,11,14,78.98,Average
INT-0537,35.53,8.25,76.21,21,25,83.15,Excel
INT-0538,55.77,4.84,69.4,14,18,68.54,Average
INT-0539,15.0,5.9,89.53,23,24,100.0,Excel
INT-0540,32.56,9.32,89.68,15,18,100.0,Excel
INT-0541,21.76,6.83,88.32,20,22,92.31,Excel
INT-0542,32.09,8.38,87.67,19,21,100.0,Excel
INT-0543,44.97,7.53,81.12,16,18,91.51,Excel
INT-0544,39.85,7.05,91.09,19,19,100.0,Excel
INT-0545,38.96,9.11,83.59,16,17,96.05,Excel
INT-0546,40.09,6.87,79.62,14,15,91.15,Excel
INT-0547,44.44,4.71,81.19,23,26,77.77,Average
INT-0548,29.9,6.08,100.0,22,23,100.0,Excel
INT-0549,50.48,7.97,68.39,13,15,76.81,Average
INT-0550,49.95,7.75,88.5,18,18,83.86,Excel
INT-0551,46.62,5.01,68.89,13,17,67.4,Average
INT-0552,48.68,6.19,83.03,11,13,79.36,Average
INT-0553,45.56,6.39,80.1,20,20,83.91,Excel
INT-0554,66.42,6.69,65.23,7,10,64.92,Average
INT-0555,40.95,5.27,87.5,21,25,79.76,Average
INT-0556,38.32,6.32,80.58,16,16,78.46,Average
INT-0557,32.96,6.18,65.11,17,17,91.44,Excel
INT-0558,29.61,8.28,91.56,20,21,100.0,Excel
INT-0559,27.07,8.33,96.92,20,20,100.0,Excel
INT-0560,31.33,7.0,97.41,15,15,97.98,Excel
INT-0561,41.15,6.65,87.23,20,24,95.58,Excel
INT-0562,46.01,7.4,84.41,16,19,89.53,Excel
INT-0563,42.61,6.06,95.95,12,12,88.76,Excel
INT-0564,32.81,5.59,99.14,17,17,100.0,Excel
INT-0565,52.8,5.88,94.2,22,24,85.09,Excel
INT-0566,50.87,6.31,75.53,23,27,84.22,Excel
INT-0567,40.08,5.57,85.81,20,23,88.11,Excel
INT-0568,34.17,7.43,87.96,13,13,92.32,Excel
INT-0569,48.58,8.22,67.71,18,22,82.59,Excel
INT-0570,44.26,4.98,88.22,20,24,85.51,Excel
INT-0571,24.62,7.24,100.0,22,22,100.0,Excel
INT-0572,41.18,6.89,89.76,20,20,89.49,Excel
INT-0573,45.14,7.68,97.26,17,22,96.76,Excel
INT-0574,31.2,7.18,85.65,18,19,91.62,Excel
INT-0575,44.28,5.16,83.34,15,18,79.82,Average
INT-0576,24.54,5.43,87.43,11,11,88.99,Excel
INT-0577,58.03,7.24,76.66,16,18,81.59,Excel
INT-0578,56.98,8.64,75.33,16,18,74.49,Average
INT-0579,38.97,4.1,95.4,19,19,92.32,Excel
INT-0580,46.36,7.68,96.35,11,13,86.14,Excel
INT-0581,15.0,8.87,75.08,23,23,100.0,Excel
INT-0582,28.12,6.99,92.71,25,29,100.0,Excel
INT-0583,38.47,7.97,83.22,17,19,93.03,Excel
INT-0584,29.13,6.22,87.06,18,21,100.0,Excel
INT-0585,50.57,7.03,88.14,17,20,85.43,Excel
INT-0586,65.97,4.93,92.95,22,25,84.87,Excel
INT-0587,27.88,3.92,84.74,14,15,85.07,Excel
INT-0588,31.95,8.52,96.69,19,19,100.0,Excel
INT-0589,44.83,5.82,86.78,14,17,83.21,Excel
INT-0590,61.33,6.56,89.62,13,18,81.23,Excel
INT-0591,27.33,5.26,76.5,18,18,86.4,Excel
INT-0592,44.99,5.23,100.0,22,24,87.3,Excel
INT-0593,63.86,6.96,88.23,22,26,81.24,Excel
INT-0594,22.18,6.18,90.42,21,21,100.0,Excel
INT-0595,26.63,7.73,69.53,16,16,92.28,Excel
INT-0596,36.92,7.83,76.6,25,29,99.32,Excel
INT-0597,35.75,7.65,95.14,15,15,100.0,Excel
INT-0598,51.75,7.53,86.58,14,17,80.5,Excel
INT-0599,44.9,9.41,66.78,10,10,82.33,Excel
INT-0600,20.7,5.71,93.34,25,25,97.38,Excel
INT-0601,48.18,7.12,79.11,20,20,97.45,Excel
INT-0602,35.07,8.79,96.7,25,27,100.0,Excel
INT-0603,57.29,8.97,83.21,9,13,83.17,Excel
INT-0604,34.47,5.21,85.84,24,24,87.39,Excel
INT-0605,34.36,6.76,94.61,18,19,96.52,Excel
INT-0606,48.49,9.1,75.92,19,20,93.98,Excel
INT-0607,51.16,7.91,75.06,9,11,77.87,Average
INT-0608,47.38,7.47,82.23,22,26,95.34,Excel
INT-0609,21.77,6.9,91.44,22,22,100.0,Excel
INT-0610,48.46,6.66,72.02,16,16,77.6,Average
INT-0611,29.59,7.6,68.99,21,24,88.88,Excel
INT-0612,44.82,6.85,91.41,14,17,83.5,Excel
INT-0613,24.92,7.14,78.57,17,18,100.0,Excel
INT-0614,47.36,7.31,80.47,14,18,88.24,Excel
INT-0615,32.32,6.25,67.29,11,13,80.43,Excel
INT-0616,26.61,7.94,77.89,21,23,99.29,Excel
INT-0617,50.57,10.0,83.93,21,24,93.02,Excel
INT-0618,44.9,4.71,92.37,14,14,87.32,Excel
INT-0619,34.63,7.65,77.06,19,20,91.99,Excel
INT-0620,59.41,6.14,98.92,14,16,81.15,Excel
INT-0621,36.71,8.01,77.84,18,21,95.28,Excel
INT-0622,42.39,7.27,77.85,14,15,85.32,Excel
INT-0623,45.23,8.27,97.84,12,17,90.04,Excel
INT-0624,34.56,8.85,85.9,22,23,100.0,Excel
INT-0625,47.65,7.47,79.03,16,19,88.92,Excel
INT-0626,35.6,8.78,82.6,25,29,100.0,Excel
INT-0627,37.06,3.92,96.18,17,18,89.63,Excel
INT-0628,58.35,9.43,97.2,11,14,92.5,Excel
INT-0629,29.51,7.73,76.65,23,23,98.12,Excel
INT-0630,15.0,8.71,83.62,23,24,100.0,Excel
INT-0631,61.33,5.49,84.81,18,23,79.47,Average
INT-0632,72.59,6.04,75.12,19,21,72.73,Average
INT-0633,37.14,7.4,83.5,14,15,84.3,Excel
INT-0634,18.76,7.18,84.05,18,18,99.73,Excel
INT-0635,38.27,7.6,94.26,16,18,94.92,Excel
INT-0636,38.57,8.72,94.87,12,12,94.84,Excel
INT-0637,39.72,4.73,81.04,16,19,88.07,Excel
INT-0638,28.64,8.56,82.07,23,25,100.0,Excel
INT-0639,48.95,7.21,89.98,17,18,95.62,Excel
INT-0640,48.29,6.91,78.73,11,11,82.87,Excel
INT-0641,24.07,5.14,89.3,13,13,91.98,Excel
INT-0642,50.39,7.9,83.21,23,24,88.37,Excel
INT-0643,66.63,3.82,75.28,14,21,62.51,Average
INT-0644,44.06,8.11,75.39,14,17,86.03,Excel
INT-0645,37.95,5.11,97.02,16,20,82.12,Excel
INT-0646,40.3,7.27,82.59,11,13,83.44,Excel
INT-0647,49.38,7.03,98.76,22,27,92.23,Excel
INT-0648,21.23,8.84,79.38,17,17,100.0,Excel
INT-0649,43.97,6.95,86.62,22,22,95.51,Excel
INT-0650,37.31,6.23,100.0,17,17,92.82,Excel
INT-0651,64.17,6.49,74.48,21,26,79.03,Average
INT-0652,39.91,8.98,66.92,18,20,89.92,Excel
INT-0653,62.01,7.95,95.58,18,20,75.29,Average
INT-0654,28.76,6.66,76.56,21,21,92.74,Excel
INT-0655,49.05,6.87,83.81,18,21,90.94,Excel
INT-0656,45.83,5.01,78.73,17,18,72.96,Average
INT-0657,31.57,7.74,86.41,17,18,97.58,Excel
INT-0658,44.13,4.74,75.45,25,27,91.5,Excel
INT-0659,56.55,8.25,82.38,11,13,78.38,Average
INT-0660,38.11,7.38,88.05,17,17,94.39,Excel
INT-0661,21.7,10.0,74.93,19,19,99.84,Excel
INT-0662,41.79,5.66,77.7,19,21,92.0,Excel
INT-0663,31.17,7.06,80.87,16,16,92.89,Excel
INT-0664,37.89,9.72,71.14,18,19,95.84,Excel
INT-0665,41.02,8.87,80.2,16,18,99.14,Excel
INT-0666,21.53,6.23,85.07,13,13,97.36,Excel
INT-0667,22.61,7.51,80.4,19,19,96.04,Excel
INT-0668,47.78,7.2,81.56,12,12,81.44,Excel
INT-0669,35.73,7.59,83.82,10,10,92.25,Excel
INT-0670,15.0,6.22,78.1,21,21,97.14,Excel
INT-0671,51.42,7.07,90.22,18,19,79.24,Average
INT-0672,45.27,4.96,96.92,18,18,87.79,Excel
INT-0673,33.43,7.39,79.82,20,23,87.56,Excel
INT-0674,26.2,7.83,88.37,10,10,100.0,Excel
INT-0675,52.03,6.88,81.84,11,15,79.21,Average
INT-0676,46.19,4.94,87.29,24,29,82.4,Excel
INT-0677,70.59,8.58,98.09,10,16,76.2,Average
INT-0678,47.04,7.71,88.58,18,22,82.1,Excel
INT-0679,46.65,6.18,68.04,13,13,72.97,Average
INT-0680,40.0,6.81,88.09,17,18,95.96,Excel
INT-0681,51.8,5.1,95.1,13,17,89.5,Excel
INT-0682,49.5,5.76,82.01,18,21,85.35,Excel
INT-0683,57.02,6.45,92.96,16,17,83.75,Excel
INT-0684,35.74,8.92,77.79,15,17,91.93,Excel
INT-0685,36.78,6.3,70.63,13,16,77.12,Average
INT-0686,36.25,8.1,85.27,18,21,100.0,Excel
INT-0687,51.49,6.45,68.19,11,13,73.02,Average
INT-0688,59.98,7.55,81.84,17,19,92.04,Excel
INT-0689,36.49,7.0,95.58,25,26,100.0,Excel
INT-0690,36.9,8.42,66.81,22,22,86.11,Excel
INT-0691,45.77,6.45,72.48,19,21,80.53,Excel
INT-0692,39.05,5.0,74.71,17,17,79.54,Average
INT-0693,53.42,5.27,83.43,8,10,72.04,Average
INT-0694,15.0,6.46,80.71,15,15,97.34,Excel
INT-0695,32.08,5.45,96.59,23,23,100.0,Excel
INT-0696,32.61,7.77,92.59,15,15,93.23,Excel
INT-0697,15.0,6.55,88.46,17,17,100.0,Excel
INT-0698,30.44,10.0,85.31,17,20,100.0,Excel
INT-0699,31.02,4.77,87.54,14,16,86.4,Excel
INT-0700,39.59,7.49,76.24,12,16,84.8,Excel
INT-0701,55.36,5.62,91.71,15,19,75.18,Average
INT-0702,39.06,6.51,73.99,13,13,84.56,Excel
INT-0703,29.63,7.4,91.52,15,18,98.51,Excel
INT-0704,41.32,3.94,94.68,14,15,84.18,Excel
INT-0705,54.59,7.53,85.9,18,22,88.57,Excel
INT-0706,30.29,9.86,82.41,17,17,100.0,Excel
INT-0707,31.07,6.57,87.6,17,17,99.04,Excel
INT-0708,48.7,7.56,58.25,18,20,80.3,Excel
INT-0709,39.34,8.63,86.72,16,16,91.13,Excel
INT-0710,49.77,6.97,82.98,15,18,80.91,Excel
INT-0711,41.84,6.39,83.54,19,22,87.35,Excel
INT-0712,50.42,4.01,90.36,19,19,82.67,Excel
INT-0713,29.58,8.1,83.33,17,17,96.29,Excel
INT-0714,41.85,7.04,73.74,17,21,80.85,Excel
INT-0715,39.47,5.78,82.73,14,16,78.82,Average
INT-0716,27.41,7.38,84.61,15,18,87.3,Excel
INT-0717,23.24,6.38,85.03,22,22,98.9,Excel
INT-0718,50.23,6.46,85.46,18,21,78.35,Average
INT-0719,37.79,8.05,93.35,19,23,93.32,Excel
INT-0720,29.73,5.33,74.23,19,20,86.27,Excel
INT-0721,40.85,8.67,85.58,17,17,90.11,Excel
INT-0722,55.54,5.24,95.61,18,22,83.98,Excel
INT-0723,15.0,6.27,68.39,24,24,100.0,Excel
INT-0724,24.04,9.89,85.62,23,23,100.0,Excel
INT-0725,30.93,8.78,78.73,18,20,95.97,Excel
INT-0726,59.53,7.34,80.66,21,22,87.31,Excel
INT-0727,45.39,5.88,75.86,17,21,77.72,Average
INT-0728,51.21,6.46,82.47,19,22,80.73,Excel
INT-0729,28.32,7.3,100.0,19,19,100.0,Excel
INT-0730,28.57,7.25,72.62,19,19,98.05,Excel
INT-0731,47.37,7.07,73.47,13,17,82.4,Excel
INT-0732,42.7,7.16,72.28,20,23,91.26,Excel
INT-0733,48.58,6.9,99.55,25,29,87.42,Excel
INT-0734,39.75,5.18,79.84,16,17,89.38,Excel
INT-0735,45.34,6.48,83.77,16,19,86.81,Excel
INT-0736,43.9,8.48,80.37,15,16,95.16,Excel
INT-0737,51.33,5.28,75.5,14,16,77.03,Average
INT-0738,51.68,6.93,81.88,22,23,88.33,Excel
INT-0739,22.56,6.05,100.0,16,16,99.24,Excel
INT-0740,15.03,7.36,96.53,17,19,100.0,Excel
INT-0741,54.02,6.66,76.32,10,13,73.35,Average
INT-0742,56.25,9.27,89.83,12,14,92.07,Excel
INT-0743,29.75,7.91,76.52,11,14,82.32,Excel
INT-0744,19.68,5.36,68.01,22,22,90.27,Excel
INT-0745,43.19,8.14,93.18,25,28,100.0,Excel
INT-0746,53.17,6.12,94.44,15,15,82.45,Excel
INT-0747,63.57,6.39,93.41,8,11,73.0,Average
INT-0748,48.2,7.64,79.77,20,23,84.76,Excel
INT-0749,37.54,6.51,82.5,14,18,87.56,Excel
INT-0750,31.28,8.45,90.75,23,26,100.0,Excel
INT-0751,42.14,6.12,87.52,16,20,85.36,Excel
INT-0752,38.41,6.33,80.46,14,14,90.51,Excel
INT-0753,29.82,6.28,69.43,17,17,85.2,Excel
INT-0754,66.59,6.41,85.02,17,24,79.21,Average
INT-0755,63.42,8.74,93.71,14,20,88.37,Excel
INT-0756,55.63,8.08,73.22,13,15,84.83,Excel
INT-0757,30.95,9.59,89.75,17,17,100.0,Excel
INT-0758,52.26,10.0,86.98,11,14,100.0,Excel
INT-0759,49.68,5.76,90.75,18,18,91.13,Excel
INT-0760,47.31,7.3,91.85,9,9,87.84,Excel
INT-0761,57.0,5.55,77.75,13,19,67.95,Average
INT-0762,49.62,6.11,69.45,19,21,79.45,Average
INT-0763,50.88,6.32,79.2,17,17,89.35,Excel
INT-0764,49.64,5.72,92.0,18,21,92.98,Excel
INT-0765,46.09,5.73,79.12,16,18,88.09,Excel
INT-0766,20.6,7.0,77.75,24,24,100.0,Excel
INT-0767,43.0,5.5,67.61,21,25,75.26,Average
INT-0768,35.33,8.38,99.77,19,19,100.0,Excel
INT-0769,26.64,5.92,91.43,22,23,93.33,Excel
INT-0770,62.18,10.0,90.93,18,23,84.63,Excel
INT-0771,62.75,6.57,92.71,13,16,79.87,Average
INT-0772,58.31,7.3,89.19,10,16,80.11,Excel
INT-0773,45.06,5.39,81.8,18,20,87.27,Excel
INT-0774,58.21,9.59,82.53,17,20,91.21,Excel
INT-0775,42.14,8.77,80.15,21,25,97.42,Excel
INT-0776,44.43,7.62,100.0,13,15,88.11,Excel
INT-0777,28.88,5.31,89.0,14,17,88.41,Excel
INT-0778,46.76,7.49,79.83,18,22,80.34,Excel
INT-0779,42.72,5.63,88.19,17,20,76.9,Average
INT-0780,26.37,9.25,74.9,10,10,99.04,Excel
INT-0781,41.39,8.33,97.54,19,20,96.41,Excel
INT-0782,41.04,7.33,78.05,10,14,86.14,Excel
INT-0783,63.57,3.79,88.51,11,15,71.85,Average
INT-0784,52.73,5.82,93.59,21,22,84.97,Excel
INT-0785,42.14,8.16,87.46,24,24,100.0,Excel
INT-0786,44.99,8.9,84.85,12,15,86.58,Excel
INT-0787,42.53,8.75,84.1,16,16,86.21,Excel
INT-0788,39.57,4.97,83.49,17,17,85.79,Excel
INT-0789,29.01,7.62,78.81,25,27,98.11,Excel
INT-0790,40.19,8.62,79.95,15,15,91.08,Excel
INT-0791,33.05,4.88,97.32,16,18,99.53,Excel
INT-0792,27.0,7.19,83.02,24,25,94.07,Excel
INT-0793,48.13,7.58,76.93,15,20,84.9,Excel
INT-0794,46.7,6.78,79.35,19,22,81.54,Excel
INT-0795,20.56,4.61,93.9,13,15,95.86,Excel
INT-0796,40.53,6.74,90.08,16,20,90.91,Excel
INT-0797,53.95,6.74,89.04,9,10,81.72,Excel
INT-0798,54.71,6.99,81.68,12,17,73.68,Average
INT-0799,54.31,6.41,89.16,19,23,81.26,Excel
INT-0800,42.47,6.58,78.21,17,17,91.06,Excel
INT-0801,31.86,7.14,81.66,17,17,100.0,Excel
INT-0802,29.0,7.82,92.73,15,15,100.0,Excel
INT-0803,46.14,6.77,91.87,15,15,85.21,Excel
INT-0804,46.55,6.63,75.16,17,19,84.74,Excel
INT-0805,57.45,7.33,76.3,19,25,91.94,Excel
INT-0806,55.2,4.51,84.98,5,7,67.64,Average
INT-0807,40.41,7.87,99.54,14,14,100.0,Excel
INT-0808,27.07,7.2,66.76,19,19,89.23,Excel
INT-0809,38.17,7.26,86.5,17,17,93.28,Excel
INT-0810,44.61,8.55,71.62,19,23,91.79,Excel
INT-0811,39.58,4.47,78.29,18,18,84.44,Excel
INT-0812,35.07,4.44,80.72,16,19,78.96,Average
INT-0813,45.03,7.58,80.22,14,16,82.56,Excel
INT-0814,35.95,7.19,79.2,16,16,95.52,Excel
INT-0815,34.46,7.44,84.06,23,25,100.0,Excel
INT-0816,45.74,6.55,79.18,13,15,88.64,Excel
INT-0817,37.18,8.13,70.84,17,20,97.72,Excel
INT-0818,44.93,8.51,91.02,18,20,96.05,Excel
INT-0819,45.28,7.88,90.78,22,26,94.05,Excel
INT-0820,28.33,6.83,91.59,17,17,100.0,Excel
INT-0821,36.23,4.25,70.13,21,21,85.81,Excel
INT-0822,59.25,8.28,86.69,20,21,84.69,Excel
INT-0823,28.06,8.91,90.08,18,18,99.73,Excel
INT-0824,16.6,8.1,74.72,18,18,100.0,Excel
INT-0825,19.66,5.97,84.08,18,19,96.02,Excel
INT-0826,42.35,8.14,82.95,16,17,91.73,Excel
INT-0827,42.37,8.4,100.0,20,24,100.0,Excel
INT-0828,40.59,9.38,100.0,18,18,100.0,Excel
INT-0829,56.57,5.97,69.02,16,19,79.84,Average
INT-0830,15.0,6.88,100.0,15,15,96.72,Excel
INT-0831,46.75,8.25,75.76,12,12,86.98,Excel
INT-0832,60.74,7.28,92.83,24,26,93.12,Excel
INT-0833,28.47,5.64,92.73,17,19,87.05,Excel
INT-0834,37.44,7.78,75.04,14,16,85.25,Excel
INT-0835,32.97,8.01,88.44,24,26,98.5,Excel
INT-0836,31.27,7.32,83.03,19,20,96.28,Excel
INT-0837,38.08,7.51,88.99,19,23,100.0,Excel
INT-0838,59.13,6.84,86.08,14,20,87.46,Excel
INT-0839,64.05,9.27,94.77,14,20,82.64,Excel
INT-0840,37.97,5.94,84.68,16,16,90.84,Excel
INT-0841,64.86,6.38,82.49,9,13,72.59,Average
INT-0842,42.43,7.22,93.86,17,17,95.81,Excel
INT-0843,63.04,8.43,89.22,16,18,87.39,Excel
INT-0844,40.88,5.1,90.59,24,24,93.4,Excel
INT-0845,43.57,5.37,78.02,17,19,89.38,Excel
INT-0846,46.39,4.35,74.59,7,9,73.78,Average
INT-0847,80.0,7.25,78.89,13,21,62.11,Average
INT-0848,52.22,5.63,78.41,25,26,88.52,Excel
INT-0849,33.51,6.66,91.08,21,22,100.0,Excel
INT-0850,53.63,8.13,92.78,13,17,88.1,Excel
INT-0851,37.66,6.3,82.6,19,23,94.25,Excel
INT-0852,36.12,7.52,96.88,14,14,97.53,Excel
INT-0853,52.9,6.78,96.32,11,15,83.58,Excel
INT-0854,42.37,8.14,86.19,16,16,94.06,Excel
INT-0855,45.34,7.87,76.6,16,19,77.55,Average
INT-0856,42.17,6.23,98.18,10,11,86.97,Excel
INT-0857,46.04,6.96,83.45,11,16,78.25,Average
INT-0858,47.1,8.66,85.14,16,20,85.34,Excel
INT-0859,18.76,7.75,80.94,17,19,100.0,Excel
INT-0860,50.0,5.24,75.99,18,23,79.84,Average
INT-0861,30.22,8.12,70.78,13,13,91.23,Excel
INT-0862,24.69,5.68,89.7,22,23,95.93,Excel
INT-0863,41.3,9.18,76.95,12,12,92.56,Excel
INT-0864,43.01,8.63,100.0,24,26,100.0,Excel
INT-0865,33.68,7.61,74.23,11,11,84.58,Excel
INT-0866,51.97,7.42,72.68,12,16,77.68,Average
INT-0867,25.89,6.91,88.59,20,23,100.0,Excel
INT-0868,37.12,8.15,97.76,24,27,95.06,Excel
INT-0869,34.98,6.68,84.58,19,22,92.17,Excel
INT-0870,41.44,7.53,89.15,19,19,93.16,Excel
INT-0871,45.35,8.42,67.41,16,21,83.71,Excel
INT-0872,29.91,6.41,77.9,14,15,86.7,Excel
INT-0873,50.69,6.34,74.34,14,18,77.86,Average
INT-0874,42.76,5.53,66.94,12,15,83.29,Excel
INT-0875,19.3,5.71,85.05,14,14,93.01,Excel
INT-0876,18.5,4.64,63.81,21,21,90.35,Excel
INT-0877,41.85,8.22,72.1,13,15,94.87,Excel
INT-0878,39.35,9.73,79.17,18,20,94.84,Excel
INT-0879,40.76,9.2,76.52,12,16,97.03,Excel
INT-0880,41.66,4.92,87.57,18,19,85.75,Excel
INT-0881,44.71,8.21,86.75,15,17,99.13,Excel
INT-0882,53.37,9.19,92.04,22,25,100.0,Excel
INT-0883,28.67,6.56,90.77,19,19,99.58,Excel
INT-0884,27.94,7.34,94.27,23,23,100.0,Excel
INT-0885,28.88,4.39,83.98,15,15,84.09,Excel
INT-0886,45.47,7.57,86.73,16,19,89.52,Excel
INT-0887,56.94,5.71,88.6,11,14,79.82,Average
INT-0888,36.82,7.48,85.27,15,19,90.8,Excel
INT-0889,15.0,5.01,80.43,19,19,94.51,Excel
INT-0890,21.55,7.96,81.01,16,16,98.85,Excel
INT-0891,32.0,8.63,76.64,13,13,98.57,Excel
INT-0892,35.31,6.1,87.79,11,12,92.55,Excel
INT-0893,37.1,5.61,83.15,8,12,75.82,Average
INT-0894,42.46,4.18,78.03,13,13,74.26,Average
INT-0895,38.26,6.83,78.04,20,20,92.97,Excel
INT-0896,54.59,6.39,73.11,10,10,81.82,Excel
INT-0897,33.89,5.03,92.81,13,13,93.51,Excel
INT-0898,31.65,7.83,84.71,25,28,95.77,Excel
INT-0899,47.75,6.57,76.23,13,17,77.83,Average
INT-0900,23.57,5.69,91.28,20,20,94.46,Excel
INT-0901,46.68,6.42,78.96,19,19,85.02,Excel
INT-0902,43.23,8.7,71.34,20,21,99.07,Excel
INT-0903,40.23,8.04,93.19,11,13,85.33,Excel
INT-0904,61.06,7.02,79.17,14,16,70.19,Average
INT-0905,34.53,8.07,80.32,12,14,86.84,Excel
INT-0906,66.72,5.57,84.37,23,30,78.74,Average
INT-0907,39.29,7.25,94.28,11,11,94.51,Excel
INT-0908,26.68,7.41,84.18,14,14,97.96,Excel
INT-0909,42.84,6.54,73.21,13,13,87.61,Excel
INT-0910,29.09,7.81,88.89,12,14,87.09,Excel
INT-0911,32.98,6.11,79.64,23,23,99.23,Excel
INT-0912,46.76,7.91,100.0,25,26,99.77,Excel
INT-0913,48.67,7.97,83.99,14,15,90.96,Excel
INT-0914,34.53,3.12,63.88,13,13,66.75,Average
INT-0915,53.85,8.87,87.22,7,9,83.1,Excel
INT-0916,55.89,2.93,100.0,14,19,74.56,Average
INT-0917,59.24,6.34,98.18,14,16,87.93,Excel
INT-0918,48.35,8.64,100.0,13,13,88.05,Excel
INT-0919,58.36,6.76,74.82,16,19,77.48,Average
INT-0920,19.43,5.15,92.21,21,22,94.43,Excel
INT-0921,38.19,5.67,77.5,18,19,88.2,Excel
INT-0922,31.6,8.64,86.02,17,17,100.0,Excel
INT-0923,43.43,4.51,72.54,13,13,81.74,Excel
INT-0924,35.14,8.78,78.2,20,23,94.58,Excel
INT-0925,40.01,7.12,77.91,17,21,91.66,Excel
INT-0926,64.59,5.53,92.09,19,24,84.61,Excel
INT-0927,39.96,6.38,91.21,20,22,85.43,Excel
INT-0928,46.97,5.78,86.49,10,14,80.83,Excel
INT-0929,39.21,8.41,71.85,11,12,90.99,Excel
INT-0930,42.91,8.23,81.2,14,14,89.37,Excel
INT-0931,42.07,4.79,77.28,13,14,72.79,Average
INT-0932,47.38,6.63,91.83,19,23,93.42,Excel
